sexo;edad;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;lugar;bien;categoria_bien;grupo_bien;color;Tapabocas;Capuchas;Gorras;Actitud_nerviosa;llena_vacia;dia_noche;Robo
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Buenavista;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Codito;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;30;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Los Laureles;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;El Redil;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;36;Transmilenio;Hurto a persona;Cosquilleo;No;No;Babilonia;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;29;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Santa M�nica;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;36;Transmilenio;Hurto a persona;Cosquilleo;No;No;Villa Magdala;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;22;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Bosque de Pinos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Sonora;Estación del Transmilenio;Accesorios prendas de vestir;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Cedros;Estación del Transmilenio;Cédula;Documentos;Mercancía;Amarillo;si;si;si;si;llena;dia;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Buenavista;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;45;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Llanurita;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;45;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Consuelos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;28;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;El Redil;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;28;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Santandersito;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;65;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;San Crist�bal Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;37;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santa Teresa;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
